Proyecto,Vende,Dirección,Tipo,Zona,Alc.,# Gar.,Area,Sub Zona,Piso,Psep13
Ed. Rincón del Bosque,Inv. CIMAR,AV. 10 N # 51N-36,Apto.,Norte,1,0,20,La Flora,101,"28,000,000"
Vertice Suites - Apartaestudios,C Y C Urbanizadores,Cr. 83E Cl. 48 Bis,Apto.,Sur,1,0,28,Caney,303,"42,500,000"
Trikala,Const. Sintagma,Cr. 49 # 14C-15,Apto.,Sur,2,2 a1,29,Ingenio,301,"41,300,000"
Edificio Camp. Towers,Hérnandez Bohmer,Cr. 100 Cl. 11A,Apto.,Sur,1,0,29,Ciudad Jardín,7,"53,753,490"
Vertice Suites - Apartaestudios,C Y C Urbanizadores,Cr. 83E Cl. 48 Bis,Apto.,Sur,1,0,29,Caney,309,"48,500,000"
Ciudad Real,Const. Melendez,Cr. 80B # 48A-54,Casa,Sur,1,1,30,Caney,1,"42,266,442"
Ed. Sephia Apartaestudios,Velkar.,Av. 5 Nte Cl. 22,Apto.,Norte,1,1,30,La Flora,6,"47,500,000"
La Luisa,Comfandi,Cl. 1 Cr. 82 y 92,Casa,Sur,1,0,30,El Refugio,2,"26,050,000"
Lekaroz,Const. Jaramillo Arq.,Av. 7 Nte. # 46N-16,Apto.,Norte,1,0,31,La Flora,302,"65,200,000"
Lekaroz,Const. Jaramillo Arq.,Av. 7 Nte. # 46N-16,Apto.,Norte,1,0,32,La Flora,301,"67,032,000"
Mediterraneo de Ciudad Jardín,Const. E Inv. Gómez,Cr. 103 # 13A-100,Apto.,Sur,1,0,32,Ciudad Jardín,1,"41,260,000"
Vertice Suites - Apartaestudios,C Y C Urbanizadores,Cr. 83E Cl. 48 Bis,Apto.,Sur,2,0,33,Caney,306,"49,500,000"
Calialto,Const. Bolívar,Cr. 101A - 102 Cl. 42 y 45,Apto.,Sur,1,1 a 2,33,Caney,105,"49,544,000"
Vertice Suites - Apartaestudios,C Y C Urbanizadores,Cr. 83E Cl. 48 Bis,Apto.,Sur,2,0,34,Caney,308,"49,500,000"
Eden de los Cerros,Const. Tekton,Cl. 1A # 66B-17,Apto.,Sur,1,1,34,El Refugio,202,"54,030,000"
Ed. Katiana María,Humberto Torres,Cl. 2C # 65A-59,Apto.,Sur,1,1,35,El Refugio,1,"60,000,000"
Yari Edificio,LV Estructuras,Cl. 14B # 49-127,Apto.,Sur,1,0,35,Sur Oriente,203,"58,000,000"
Urb. Alameda del Rio,Const. Falattys,Av. 2N Cl. 71,Casa,Norte,1,0,36,Calima,1,"46,624,000"
Mediterraneo de Ciudad Jardín,Const. E Inv. Gómez,Cr. 103 # 13A-100,Apto.,Sur,1,0,36,Ciudad Jardín,1,"46,440,000"
Ed. Katiana María,Humberto Torres,Cl. 2C # 65A-59,Apto.,Sur,1,1,37,El Refugio,1,"50,000,000"
Edificio Camp. Towers,Hérnandez Bohmer,Cr. 100 Cl. 11A,Apto.,Sur,1,0,37,Ciudad Jardín,3,"79,000,000"
El Nogal Senior Suites,Concretesa,Cr. 2 Oe # 10-60,Apto.,Oeste,1,0,37,Santa Teresita,1,"125,000,000"
Lili del Viento,Inv. Alcabama,Cr. 99 # 45-120,Apto.,Sur,1,2 a 1,37,Caney,412,"53,406,000"
Lomalinda Conj. Res.,Comfandi,Cr. 93 bis Cl. 2B - 1 Oeste,Apto.,Sur,3,0,38,El Refugio,301,"36,050,000"
Remanso de Chipichape,Arq. y Propiedades,Cl. 4 Nte. # 6A-20,Apto.,Norte,1,1,38,La Flora,6,"106,000,000"
Rincón del Caney,Cusezar,Cr. 83E # 42-71,Apto.,Sur,1,1,39,Caney,104,"63,175,000"
Refugio Plaza Camp.,Proy. y Planes,Cl. 3D # 64-80,Apto.,Sur,1,1,39,El Refugio,1,"38,500,000"
Camino del Limonar,Const. Bolívar, Cl. 15 # 66-25,Apto.,Sur,2,1,39,Ingenio,1,"57,354,000"
Brisas del Aguacatal,Comfandi,Cl. 16  Av. 6 Oeste,Casa,Oeste,2,0,40,Oeste VIS,1,"27,000,000"
Sottomonte Apartaestudios,Inm. Centenario,Av. Guadalupe # 2-157,Apto.,Sur,1,1,40,El Refugio,402,"83,000,000"
Edificio Camp. Towers,Hérnandez Bohmer,Cr. 100 Cl. 11A,Apto.,Sur,1,0,40,Ciudad Jardín,5,"88,876,000"
Sta. Ma.  de los Vientos,Prom. Sta Isabel,Cl. 4B Cr. 38A,Apto.,Sur,1,1,40,El Refugio,3,"80,000,000"
Torres 52 Norte,Comfenalco,Cl. 52 N # 8N-94,Apto.,Norte,2,0,40,Calima,101,"46,690,000"
Eden de los Cerros,Const. Tekton,Cl. 1A # 66B-17,Apto.,Sur,1,1,40,El Refugio,301,"62,262,000"
